MP,TOT_MP,L1,L2,H,AREA,VOL,#PER_LC,TC,CAST,INT
S323PP0145TBI2,138,1200,800,810,0.96,0.7776,9,0.0417536534446764,1,0
M124VM0145600I/,138,1200,800,750,0.96,0.72,6,0.0714285714285714,1,0
10103249RI/,136,1200,800,675,0.96,0.648,6,0.0090415913200723,1,0
M934152050040I0,127,1200,800,360,0.96,0.3456,6,0.0113378684807256,1,0
ASM0001GI/,126,1200,800,700,0.96,0.672,9,0.0446428571428571,1,0
113.06.016.61I/,123,1200,800,810,0.96,0.7776,6,0.0759878419452888,1,0
745.06.004.63I/,120,1200,800,700,0.96,0.672,6,0.0730353491089687,1,0
2817.003.002I1,118,1200,800,700,0.96,0.672,6,0.0759878419452888,1,0
ASM0002GI/,117,1200,800,800,0.96,0.768,6,0.0285714285714286,1,0
114.04.038.61I/,116,1200,800,700,0.96,0.672,8,0.0248015873015873,1,0
990.06.007.62I/,110,1200,800,810,0.96,0.7776,6,0.147275405007364,1,0
THY0003GI/,107,1200,800,810,0.96,0.7776,6,0.0055803571428571,1,0
10128294IB,104,1200,800,600,0.96,0.576,6,0.0714285714285714,1,0
750.06.088.61I/,100,1200,800,600,0.96,0.576,6,0.0193050193050193,1,0
10158718IA,96,1200,800,700,0.96,0.672,6,0.0145772594752187,1,0
114.04.037612I/,96,1200,800,645,0.96,0.6192,6,0.119047619047619,1,0
FIA0005G01I0,96,1200,800,1040,0.96,0.9984,6,0.0821018062397373,0,0
THY0029GI/,94,1200,800,700,0.96,0.672,4,0.0113378684807256,0,0
THY0030GI/,94,1200,800,810,0.96,0.7776,6,0.0560224089635854,0,0
THY0038GI/,94,1200,800,750,0.96,0.72,6,0.321543408360129,0,0
193.01.004.61I/,86,1200,800,700,0.96,0.672,6,0.0147275405007364,1,0
THY0009GI/,84,1200,800,800,0.96,0.768,6,0.12531328320802,0,0
THY0010GI/,84,1200,800,810,0.96,0.7776,6,0.0560224089635854,0,0
53261769I02,82,1200,800,800,0.96,0.768,6,0.0266666666666667,1,0
M702100050021I0,81,1200,800,810,0.96,0.7776,6,0.0246305418719212,1,0
755.06.025.61I/,80,1200,800,600,0.96,0.576,6,0.0821018062397373,0,0
THY000201GI/,80,1200,800,810,0.96,0.7776,6,0.0714285714285714,0,0
0.040.8906.5I/,80,1200,800,810,0.96,0.7776,6,0.0178571428571429,1,0
113.01.001.61I/,80,1200,800,800,0.96,0.768,6,0.0198412698412698,1,0
THY0037GI/,75,1200,800,675,0.96,0.648,6,0.0525210084033613,0,0
112.04.761.03I0,72,1200,800,1224,0.96,1.17504,4,0.0759878419452888,0,0
THY000702GI/,72,1200,800,810,0.96,0.7776,6,0.0175070028011205,0,0
THY000802GI/,72,1200,800,800,0.96,0.768,1,0.0525210084033613,0,0
750.06.015.63I/,68,1200,800,700,0.96,0.672,6,0.0145772594752187,0,0
2718.463.002I/,66,1200,800,800,0.96,0.768,6,0.0560224089635854,1,1
