node_id,x_node,y_node,capacity,x,y
,,,,218.21,140
,,,,225.39,140
,,,,232.57,140
,,,,239.75,140
,,,,246.93,140
,,,,254.11,140
,,,,261.29,140
,,,,268.47,140
,,,,275.65,140
,,,,282.83,140
,,,,290.01,140
,,,,297.19,140
,,,,304.37,140
,,,,311.55,140
,,,,318.73,140
,,,,325.91,140
,,,,333.09,140
,,,,340.27,140
,,,,347.45,140
,,,,354.63,140
,,,,361.81,140
,,,,368.99,140
,,,,376.17,140
,,,,383.35,140
,,,,390.53,140
,,,,397.71,140
,,,,404.89,140
,,,,412.07,140
,,,,419.25,140
,,,,426.43,140
,,,,433.61,140
,,,,440.79,140
,,,,24.59,185.385
,,,,24.59,196.155
,,,,24.59,206.925
,,,,24.59,217.695
,,,,24.59,228.465
,,,,24.59,239.235
,,,,24.59,250.005
,,,,24.59,260.775
,,,,24.59,271.545
,,,,31.77,185.385
,,,,31.77,196.155
,,,,31.77,206.925
,,,,31.77,217.695
,,,,31.77,228.465
,,,,31.77,239.235
,,,,31.77,250.005
,,,,31.77,260.775
,,,,31.77,271.545
,,,,38.95,185.385
,,,,38.95,196.155
,,,,38.95,206.925
,,,,38.95,217.695
,,,,38.95,228.465
,,,,38.95,239.235
,,,,38.95,250.005
,,,,38.95,260.775
,,,,38.95,271.545
,,,,46.13,185.385
,,,,46.13,196.155
,,,,46.13,206.925
,,,,46.13,217.695
,,,,46.13,228.465
,,,,46.13,239.235
,,,,46.13,250.005
,,,,46.13,260.775
,,,,46.13,271.545
,,,,53.31,185.385
,,,,53.31,196.155
,,,,53.31,206.925
,,,,53.31,217.695
,,,,53.31,228.465
,,,,53.31,239.235
,,,,53.31,250.005
,,,,53.31,260.775
,,,,53.31,271.545
,,,,60.49,185.385
,,,,60.49,196.155
,,,,60.49,206.925
,,,,60.49,217.695
,,,,60.49,228.465
,,,,60.49,239.235
,,,,60.49,250.005
,,,,60.49,260.775
,,,,60.49,271.545
,,,,67.67,185.385
,,,,67.67,196.155
,,,,67.67,206.925
,,,,67.67,217.695
,,,,67.67,228.465
,,,,67.67,239.235
,,,,67.67,250.005
,,,,67.67,260.775
,,,,67.67,271.545
,,,,74.85,185.385
,,,,74.85,196.155
,,,,74.85,206.925
,,,,74.85,217.695
,,,,74.85,228.465
,,,,74.85,239.235
,,,,74.85,250.005
,,,,74.85,260.775
,,,,74.85,271.545
,,,,82.03,185.385
,,,,82.03,196.155
,,,,82.03,206.925
,,,,82.03,217.695
,,,,82.03,228.465
,,,,82.03,239.235
,,,,82.03,250.005
,,,,82.03,260.775
,,,,82.03,271.545
,,,,89.21,185.385
,,,,89.21,196.155
,,,,89.21,206.925
,,,,89.21,217.695
,,,,89.21,228.465
,,,,89.21,239.235
,,,,89.21,250.005
,,,,89.21,260.775
,,,,89.21,271.545
,,,,96.39,185.385
,,,,96.39,196.155
,,,,96.39,206.925
,,,,96.39,217.695
,,,,96.39,228.465
,,,,96.39,239.235
,,,,96.39,250.005
,,,,96.39,260.775
,,,,96.39,271.545
,,,,103.57,185.385
,,,,103.57,196.155
,,,,103.57,206.925
,,,,103.57,217.695
,,,,103.57,228.465
,,,,103.57,239.235
,,,,103.57,250.005
,,,,103.57,260.775
,,,,103.57,271.545
,,,,110.75,185.385
,,,,110.75,196.155
,,,,110.75,206.925
,,,,110.75,217.695
,,,,110.75,228.465
,,,,110.75,239.235
,,,,110.75,250.005
,,,,110.75,260.775
,,,,110.75,271.545
,,,,117.93,185.385
,,,,117.93,196.155
,,,,117.93,206.925
,,,,117.93,217.695
,,,,117.93,228.465
,,,,117.93,239.235
,,,,117.93,250.005
,,,,117.93,260.775
,,,,117.93,271.545
,,,,125.11,185.385
,,,,125.11,196.155
,,,,125.11,206.925
,,,,125.11,217.695
,,,,125.11,228.465
,,,,125.11,239.235
,,,,125.11,250.005
,,,,125.11,260.775
,,,,125.11,271.545
,,,,132.29,185.385
,,,,132.29,196.155
,,,,132.29,206.925
,,,,132.29,217.695
,,,,132.29,228.465
,,,,132.29,239.235
,,,,132.29,250.005
,,,,132.29,260.775
,,,,132.29,271.545
,,,,139.47,185.385
,,,,139.47,196.155
,,,,139.47,206.925
,,,,139.47,217.695
,,,,139.47,228.465
,,,,139.47,239.235
,,,,139.47,250.005
,,,,139.47,260.775
,,,,139.47,271.545
,,,,146.65,185.385
,,,,146.65,196.155
,,,,146.65,206.925
,,,,146.65,217.695
,,,,146.65,228.465
,,,,146.65,239.235
,,,,146.65,250.005
,,,,146.65,260.775
,,,,146.65,271.545
,,,,153.83,185.385
,,,,153.83,196.155
,,,,153.83,206.925
,,,,153.83,217.695
,,,,153.83,228.465
,,,,153.83,239.235
,,,,153.83,250.005
,,,,153.83,260.775
,,,,153.83,271.545
,,,,161.01,185.385
,,,,161.01,196.155
,,,,161.01,206.925
,,,,161.01,217.695
,,,,161.01,228.465
,,,,161.01,239.235
,,,,161.01,250.005
,,,,161.01,260.775
,,,,161.01,271.545
,,,,168.19,185.385
,,,,168.19,196.155
,,,,168.19,206.925
,,,,168.19,217.695
,,,,168.19,228.465
,,,,168.19,239.235
,,,,168.19,250.005
,,,,168.19,260.775
,,,,168.19,271.545
,,,,175.37,185.385
,,,,175.37,196.155
,,,,175.37,206.925
,,,,175.37,217.695
,,,,175.37,228.465
,,,,175.37,239.235
,,,,175.37,250.005
,,,,175.37,260.775
,,,,175.37,271.545
,,,,182.55,185.385
,,,,182.55,196.155
,,,,182.55,206.925
,,,,182.55,217.695
,,,,182.55,228.465
,,,,182.55,239.235
,,,,182.55,250.005
,,,,182.55,260.775
,,,,182.55,271.545
,,,,189.73,185.385
,,,,189.73,196.155
,,,,189.73,206.925
,,,,189.73,217.695
,,,,189.73,228.465
,,,,189.73,239.235
,,,,189.73,250.005
,,,,189.73,260.775
,,,,189.73,271.545
,,,,196.91,185.385
,,,,196.91,196.155
,,,,196.91,206.925
,,,,196.91,217.695
,,,,196.91,228.465
,,,,196.91,239.235
,,,,196.91,250.005
,,,,196.91,260.775
,,,,196.91,271.545
,,,,204.09,185.385
,,,,204.09,196.155
,,,,204.09,206.925
,,,,204.09,217.695
,,,,204.09,228.465
,,,,204.09,239.235
,,,,204.09,250.005
,,,,204.09,260.775
,,,,204.09,271.545
,,,,211.27,185.385
,,,,211.27,196.155
,,,,211.27,206.925
,,,,211.27,217.695
,,,,211.27,228.465
,,,,211.27,239.235
,,,,211.27,250.005
,,,,211.27,260.775
,,,,211.27,271.545
,,,,218.45,185.385
,,,,218.45,196.155
,,,,218.45,206.925
,,,,218.45,217.695
,,,,218.45,228.465
,,,,218.45,239.235
,,,,218.45,250.005
,,,,218.45,260.775
,,,,218.45,271.545
,,,,225.63,185.385
,,,,225.63,196.155
,,,,225.63,206.925
,,,,225.63,217.695
,,,,225.63,228.465
,,,,225.63,239.235
,,,,225.63,250.005
,,,,225.63,260.775
,,,,225.63,271.545
,,,,232.81,185.385
,,,,232.81,196.155
,,,,232.81,206.925
,,,,232.81,217.695
,,,,232.81,228.465
,,,,232.81,239.235
,,,,232.81,250.005
,,,,232.81,260.775
,,,,232.81,271.545
,,,,239.99,185.385
,,,,239.99,196.155
,,,,239.99,206.925
,,,,239.99,217.695
,,,,239.99,228.465
,,,,239.99,239.235
,,,,239.99,250.005
,,,,239.99,260.775
,,,,239.99,271.545
,,,,270.59,370.385
,,,,270.59,381.155
,,,,270.59,391.925
,,,,277.77,370.385
,,,,277.77,381.155
,,,,277.77,391.925
,,,,284.95,370.385
,,,,284.95,381.155
,,,,284.95,391.925
,,,,292.13,370.385
,,,,292.13,381.155
,,,,292.13,391.925
,,,,299.31,370.385
,,,,299.31,381.155
,,,,299.31,391.925
,,,,306.49,370.385
,,,,306.49,381.155
,,,,306.49,391.925
,,,,313.67,370.385
,,,,313.67,381.155
,,,,313.67,391.925
,,,,320.85,370.385
,,,,320.85,381.155
,,,,320.85,391.925
,,,,328.03,370.385
,,,,328.03,381.155
,,,,328.03,391.925
,,,,335.21,370.385
,,,,335.21,381.155
,,,,335.21,391.925
,,,,342.39,370.385
,,,,342.39,381.155
,,,,342.39,391.925
,,,,349.57,370.385
,,,,349.57,381.155
,,,,349.57,391.925
,,,,356.75,370.385
,,,,356.75,381.155
,,,,356.75,391.925
,,,,363.93,370.385
,,,,363.93,381.155
,,,,363.93,391.925
,,,,371.11,370.385
,,,,371.11,381.155
,,,,371.11,391.925
,,,,378.29,370.385
,,,,378.29,381.155
,,,,378.29,391.925
,,,,385.47,370.385
,,,,385.47,381.155
,,,,385.47,391.925
,,,,392.65,370.385
,,,,392.65,381.155
,,,,392.65,391.925
,,,,399.83,370.385
,,,,399.83,381.155
,,,,399.83,391.925
,,,,407.01,370.385
,,,,407.01,381.155
,,,,407.01,391.925
,,,,414.19,370.385
,,,,414.19,381.155
,,,,414.19,391.925
,,,,421.37,370.385
,,,,421.37,381.155
,,,,421.37,391.925
,,,,428.55,370.385
,,,,428.55,381.155
,,,,428.55,391.925
,,,,435.73,370.385
,,,,435.73,381.155
,,,,435.73,391.925
,,,,442.91,370.385
,,,,442.91,381.155
,,,,442.91,391.925
,,,,450.09,370.385
,,,,450.09,381.155
,,,,450.09,391.925
,,,,457.27,370.385
,,,,457.27,381.155
,,,,457.27,391.925
,,,,457.27,402.695
,,,,457.27,413.465
,,,,464.45,370.385
,,,,464.45,381.155
,,,,464.45,391.925
,,,,464.45,402.695
,,,,464.45,413.465
,,,,471.63,370.385
,,,,471.63,381.155
,,,,471.63,391.925
,,,,471.63,402.695
,,,,471.63,413.465
,,,,478.81,370.385
,,,,478.81,381.155
,,,,478.81,391.925
,,,,478.81,402.695
,,,,478.81,413.465
,,,,528.59,407.385
,,,,528.59,418.155
,,,,528.59,428.925
,,,,528.59,439.695
,,,,528.59,450.465
,,,,535.77,407.385
,,,,535.77,418.155
,,,,535.77,428.925
,,,,535.77,439.695
,,,,535.77,450.465
,,,,542.95,407.385
,,,,542.95,418.155
,,,,542.95,428.925
,,,,542.95,439.695
,,,,542.95,450.465
,,,,550.13,407.385
,,,,550.13,418.155
,,,,550.13,428.925
,,,,550.13,439.695
,,,,550.13,450.465
,,,,557.31,407.385
,,,,557.31,418.155
,,,,557.31,428.925
,,,,557.31,439.695
,,,,557.31,450.465
,,,,564.49,407.385
,,,,564.49,418.155
,,,,564.49,428.925
,,,,564.49,439.695
,,,,564.49,450.465
,,,,571.67,407.385
,,,,571.67,418.155
,,,,571.67,428.925
,,,,571.67,439.695
,,,,571.67,450.465
,,,,578.85,407.385
,,,,578.85,418.155
,,,,578.85,428.925
,,,,578.85,439.695
,,,,578.85,450.465
,,,,586.03,407.385
,,,,586.03,418.155
,,,,586.03,428.925
,,,,586.03,439.695
,,,,586.03,450.465
,,,,593.21,407.385
,,,,593.21,418.155
,,,,593.21,428.925
,,,,593.21,439.695
,,,,593.21,450.465
